Player,Sim,1,2,3,4,5,6,7,8,9
Rodney Carney,,1.6,1.5,1.5,1.3,0.3,,,,
Jerry Chambers,84.3,1.5,1.4,1.3,1.1,0.0,0.0,,,
Larry Staverman,84.0,1.6,1.6,1.4,1.2,1.1,,,,
Al Thornton,78.5,2.2,1.6,1.3,1.1,,,,,
Togo Palazzi,75.0,2.0,1.7,1.6,0.8,0.6,-0.2,,,
Quincy Acy,74.9,2.5,1.7,1.5,1.1,,,,,
Michael Ruffin,74.7,1.9,1.7,1.2,1.0,0.6,0.2,0.1,0.0,0.0
Jon Leuer,74.4,2.7,2.0,1.4,1.3,0.2,,,,
Major Jones,72.9,1.3,1.3,1.2,0.9,0.7,0.1,,,
Terry Driscoll,72.8,1.7,1.7,1.5,0.3,0.0,,,,
John Wallace,72.7,1.6,1.5,1.0,1.0,0.7,0.3,0.3,,
