Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,24,HOU,NBA,PG,2,0,8,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,1,0,2,0,0
2011-12,29,CHI,NBA,PG,5,0,94,18,40,.450,5,13,.385,13,27,.481,.513,2,2,1.000,2,5,7,9,0,0,6,7,43
