MVP Award Shares
1998-99 NBA 0.008 (10)
1999-00 NBA 0.337 (2)
2000-01 NBA 0.122 (5)
2001-02 NBA 0.013 (12)
2002-03 NBA 0.732 (2)
2003-04 NBA 0.991 (1)
2004-05 NBA 0.012 (11)
2006-07 NBA 0.005 (9)
2007-08 NBA 0.532 (3)
2012-13 NBA 0.001 (12)
Career 2.753 (15)
