Player Efficiency Rating
1999-00 NBA 23.6 (7th)
2000-01 NBA 23.9 (8th)
2001-02 NBA 23.8 (6th)
2002-03 NBA 26.4 (4th)
2003-04 NBA 29.4 (1st)
2004-05 NBA 28.2 (1st)
2005-06 NBA 26.8 (5th)
2006-07 NBA 24.1 (7th)
2007-08 NBA 25.3 (4th)
Career NBA 22.7 (28th)
Career 22.7 (29th)
