Defensive Rebound Pct
1999-00 NBA 26.6 (5th)
2000-01 NBA 25.3 (8th)
2001-02 NBA 26.5 (3rd)
2002-03 NBA 28.5 (2nd)
2003-04 NBA 30.0 (1st)
2004-05 NBA 30.2 (2nd)
2005-06 NBA 29.7 (2nd)
2006-07 NBA 30.8 (1st)
2010-11 NBA 28.7 (5th)
2011-12 NBA 25.8 (7th)
Career NBA 26.0 (10th)
Career 26.0 (12th)
