Offensive Win Shares
2002-03 NBA 9.8 (5th)
2003-04 NBA 10.4 (2nd)
2004-05 NBA 10.1 (4th)
2005-06 NBA 9.0 (10th)
Career NBA 99.9 (22nd)
Career 99.9 (25th)
