Defensive Win Shares
1999-00 NBA 5.6 (5th)
2000-01 NBA 4.8 (10th)
2001-02 NBA 4.9 (10th)
2002-03 NBA 5.8 (4th)
2003-04 NBA 8.0 (2nd)
2004-05 NBA 6.0 (2nd)
2005-06 NBA 5.9 (4th)
2006-07 NBA 4.9 (8th)
2007-08 NBA 6.2 (2nd)
2010-11 NBA 5.6 (2nd)
2011-12 NBA 4.3 (4th)
Career NBA 91.5 (7th)
Career 91.5 (7th)
