Field Goal Attempts
1998-99 NBA 900 (3rd)
1999-00 NBA 1526 (7th)
2003-04 NBA 1611 (1st)
2006-07 NBA 1341 (7th)
Career NBA 21142 (10th)
Career 21142 (12th)
