2-Pt Field Goals
1997-98 NBA 632 (5th)
1998-99 NBA 410 (4th)
1999-00 NBA 729 (3rd)
2000-01 NBA 685 (6th)
2001-02 NBA 622 (6th)
2002-03 NBA 723 (2nd)
2003-04 NBA 793 (1st)
2004-05 NBA 677 (3rd)
2005-06 NBA 618 (9th)
2006-07 NBA 626 (7th)
Career NBA 10331 (10th)
Career 10331 (12th)
