Defensive Box Plus/Minus
1998-99 NBA 3.2 (10th)
2001-02 NBA 3.1 (7th)
2002-03 NBA 3.7 (5th)
2003-04 NBA 5.0 (2nd)
2004-05 NBA 4.4 (5th)
2005-06 NBA 3.5 (8th)
2006-07 NBA 3.2 (8th)
2007-08 NBA 4.7 (3rd)
2008-09 NBA 3.7 (3rd)
2010-11 NBA 4.1 (4th)
2011-12 NBA 3.3 (9th)
Career NBA 3.3 (18th)
Career 3.3 (20th)
