Rebounds Per Game
1997-98 NBA 9.6 (10th)
1998-99 NBA 10.4 (9th)
1999-00 NBA 11.8 (4th)
2000-01 NBA 11.4 (6th)
2001-02 NBA 12.1 (3rd)
2002-03 NBA 13.4 (2nd)
2003-04 NBA 13.9 (1st)
2004-05 NBA 13.5 (1st)
2005-06 NBA 12.7 (1st)
2006-07 NBA 12.8 (1st)
Career NBA 10.0 (43rd)
Career 10.0 (51st)
