Total Rebound Pct
2001-02 NBA 17.8 (4th)
2002-03 NBA 18.8 (4th)
2003-04 NBA 20.1 (2nd)
2004-05 NBA 20.3 (4th)
2005-06 NBA 19.6 (5th)
2006-07 NBA 19.5 (7th)
Career NBA 17.0 (43rd)
Career 17.0 (48th)
