Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Marreese Speights,,4.0,3.8,2.8,2.7,2.1,2.1,1.8,1.7,,,,,,,,
Spencer Hawes,83.3,4.5,4.5,2.9,2.4,2.1,1.9,1.2,0.8,0.6,,,,,,,
Jim Davis,82.0,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,,,,,,,,
Clemon Johnson,82.0,4.3,4.0,3.7,3.5,2.2,2.0,2.0,1.7,1.2,0.9,,,,,,
Len Elmore,80.9,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0.0,,,,,,
Otto Moore,80.6,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,,,,,,,
Oliver Miller,79.2,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0.0,,,,,,,
Chris Dudley,79.1,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1.5,1.0,1.0,0.5,0.3,0.2,0.1,0.0,0.0
Luc Longley,78.9,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0.0,,,,,,
Walter Dukes,78.4,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5,,,,,,,,
Randy Breuer,78.4,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,,,,
