Player,Sim,1,2,3,4,5,6,7,8
Marreese Speights,,4.0,3.8,2.8,2.7,2.1,2.1,1.8,1.7
Clemon Johnson,86.6,4.3,4.0,3.7,3.5,2.2,2.0,1.7,1.2
Jon Koncak,86.0,3.7,3.7,3.7,3.1,2.5,2.3,1.4,1.1
Joe Meriweather,83.1,4.8,3.8,3.8,2.6,2.6,2.3,2.2,0.8
Jim Davis,82.0,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2
Wayne Cooper,81.0,5.1,4.1,3.5,2.9,2.9,2.8,1.5,1.2
Bob Ferry,80.5,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9
Len Elmore,80.2,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.0
Spencer Hawes,79.5,4.5,4.5,2.9,2.4,2.1,1.2,0.8,0.6
Otto Moore,79.2,5.0,4.7,3.5,2.4,2.3,1.8,1.3,0.9
Walter Dukes,78.4,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5
