Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Fred Jones,,4.8,4.0,2.6,2.2,1.6,1.2,0.0,,,,,
Al Wood,88.8,4.4,4.2,2.5,2.3,1.0,0.9,,,,,,
Todd Day,86.2,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,,,,
Doug West,85.5,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1
T.J. Ford,84.9,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,,,,
Daniel Gibson,84.8,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,,,,
Fred Carter,84.6,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,,,,
Winston Garland,84.5,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,,,,,
Whitey Skoog,83.7,4.1,3.6,2.9,1.9,1.0,0.7,,,,,,
Jack George,83.6,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1,,,,
Slick Watts,82.9,4.7,3.3,2.7,1.2,1.2,0.8,,,,,,
