Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Leandro Barbosa,,8.2,5.5,5.0,3.8,2.8,2.1,1.9,1.8,1.7,1.5,1.1,0.9,0.4
Jon Barry,89.4,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
Brevin Knight,88.5,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.7,0.2,
John Salmons,88.0,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1
Vinny Del Negro,84.5,8.3,6.8,5.7,3.7,3.5,3.1,2.5,2.2,1.6,1.6,1.5,0.0,
Mo Williams,84.4,9.8,6.7,4.5,3.2,2.8,2.5,2.2,2.2,2.1,1.8,1.1,1.0,0.2
Raja Bell,83.9,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,
Larry Hughes,83.2,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5
Adrian Smith,82.4,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,,
Gerald Henderson,82.3,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0
Arron Afflalo,81.6,6.2,5.3,5.3,4.3,2.7,2.6,2.0,1.9,1.8,,,,
