Player,Sim,1,2,3,4,5,6,7,8,9,10
Evan Turner,,4.0,2.5,2.4,2.3,2.1,1.4,,,,
Charlie Criss,87.2,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0.0,,
Trenton Hassell,86.7,4.0,2.7,2.6,2.3,1.5,0.7,0.2,-0.1,-0.1,
Winston Garland,84.8,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,,,
Jerryd Bayless,84.0,4.0,2.7,2.4,2.4,2.4,2.0,1.6,0.3,,
Bob Hansen,83.5,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,
Fatty Taylor,83.0,3.7,3.0,2.6,2.6,2.1,1.3,1.2,0.4,,
Todd Day,82.6,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,,
Daniel Gibson,81.1,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,,
Quintin Dailey,80.8,3.7,2.6,2.1,2.0,1.3,1.0,0.3,0.1,-0.3,-0.3
Mike McGee,80.8,3.2,3.0,2.8,2.3,1.9,1.1,0.4,0.2,0.2,
