Effective Field Goal Pct
2003-04 NBA .530 (8th)
2008-09 NBA .604 (2nd)
2009-10 NBA .587 (3rd)
2010-11 NBA .615 (1st)
Career NBA .546 (30th)
Career .546 (31st)
