True Shooting Pct
2006-07 NBA .611 (9th)
2008-09 NBA .645 (1st)
2009-10 NBA .630 (1st)
2010-11 NBA .656 (2nd)
Active .584 (8th)
Career NBA .584 (41st)
Career .584 (42nd)
