2-Pt Field Goal Pct
2002-03 NBA .521 (9th)
2003-04 NBA .532 (6th)
2008-09 NBA .607 (2nd)
2009-10 NBA .589 (3rd)
2010-11 NBA .618 (1st)
Active .548 (7th)
Career NBA .548 (20th)
Career .548 (20th)
