Field Goal Pct
2002-03 NBA .519 (6th)
2003-04 NBA .530 (5th)
2008-09 NBA .604 (2nd)
2009-10 NBA .587 (3rd)
2010-11 NBA .615 (1st)
Active .546 (7th)
Career NBA .546 (20th)
Career .546 (21st)
