Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Nene Hilario,,10.8,9.6,9.3,6.1,5.3,5.0,4.0,3.2,3.2,3.0,2.7,2.7,0.3,-0.1
Bob Boozer,89.3,11.6,10.6,9.4,5.9,5.8,5.3,3.9,3.9,3.7,2.8,1.4,,,
Kevin Willis,86.7,10.2,8.8,8.6,6.0,6.0,4.7,4.7,4.4,4.2,3.8,3.6,2.7,2.4,2.2
Toni Kukoc,86.2,10.1,10.0,7.0,6.9,4.7,4.0,3.4,3.2,3.1,2.8,2.0,1.5,1.1,
Gerald Wallace,86.1,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1
Zach Randolph,85.2,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,3.1,3.0,3.0,2.1,1.3,0.5
Donyell Marshall,84.7,10.4,8.5,6.0,6.0,5.0,4.2,4.2,3.8,3.8,3.0,1.3,1.3,0.3,0.3
Jermaine O'Neal,84.6,10.5,9.0,6.4,6.4,5.6,4.9,4.7,3.8,2.6,2.1,1.2,0.9,0.8,0.8
Corey Maggette,84.2,8.6,8.1,7.0,6.9,6.3,5.0,3.9,3.4,3.3,3.3,3.0,2.6,0.7,0.1
Terry Dischinger,84.1,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,,,,,
Derrick Coleman,84.0,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2.0,1.2,0.8,-0.2
